,name,description,member
843152,MED12,TAS1R1,colon
843153,MED12,ZBTB48,colon
843154,MED12,KLHL21,colon
843155,MED12,PHF13,colon
843156,MED12,THAP3,colon
843157,MED12,ERRFI1,colon
843158,MED12,RP11-431K24.1,colon
843159,MED12,RERE,colon
843160,MED12,RP11-185B14.1,colon
843161,MED12,MIR6728,colon
843162,MED12,ENO1,colon
843163,MED12,H6PD,colon
843164,MED12,SPSB1,colon
843165,MED12,SLC25A33,colon
843166,MED12,TMEM201,colon
843167,MED12,CLSTN1,colon
843169,MED12,CTNNBIP1,colon
843170,MED12,LZIC,colon
843171,MED12,RP11-84A14.4,colon
843172,MED12,NMNAT1,colon
843173,MED12,RN7SKP269,colon
843174,MED12,CASZ1,colon
843177,MED12,MASP2,colon
843178,MED12,SRM,colon
843179,MED12,RP4-635E18.7,colon
843180,MED12,EXOSC10,colon
843181,MED12,RP4-635E18.6,colon
843182,MED12,MTOR,colon
843183,MED12,RNU5E-1,colon
843184,MED12,RNU5E-4P,colon
843185,MED12,KIAA2013,colon
843186,MED12,PLOD1,colon
843187,MED12,TNFRSF8,colon
843188,MED12,MIR7846,colon
843189,MED12,TNFRSF1B,colon
843190,MED12,VPS13D,colon
843191,MED12,RNU6ATAC18P,colon
843193,MED12,DHRS3,colon
843194,MED12,RP11-474O21.5,colon
843195,MED12,TMEM51-AS1,colon
843196,MED12,TMEM51,colon
843198,MED12,RP1-21O18.3,colon
843200,MED12,FHAD1,colon
843201,MED12,RP11-169K16.6,colon
843204,MED12,SPEN,colon
843205,MED12,FLJ37453,colon
843206,MED12,EPHA2,colon
843207,MED12,RP11-276H7.2,colon
843208,MED12,RP11-276H7.3,colon
843209,MED12,ARHGEF19-AS1,colon
843210,MED12,ARHGEF19,colon
843211,MED12,ANO7P1,colon
843212,MED12,RSG1,colon
843213,MED12,MT1XP1,colon
843214,MED12,FBXO42,colon
843216,MED12,RP5-1182A14.5,colon
843218,MED12,RP11-108M9.4,colon
843219,MED12,RNU1-2,colon
843220,MED12,RP11-108M9.6,colon
843221,MED12,CROCC,colon
843222,MED12,ATP13A2,colon
843223,MED12,SDHB,colon
843224,MED12,CAPZB,colon
843225,MED12,RP5-1056L3.1,colon
843226,MED12,MINOS1,colon
843227,MED12,MINOS1-NBL1,colon
843229,MED12,NBL1,colon
843230,MED12,HTR6,colon
843231,MED12,TMCO4,colon
843232,MED12,RP11-91K11.2,colon
843233,MED12,RNF186,colon
843234,MED12,OTUD3,colon
843235,MED12,PLA2G2E,colon
843236,MED12,CAMK2N1,colon
843237,MED12,MUL1,colon
843238,MED12,PINK1,colon
843239,MED12,MIR6084,colon
843240,MED12,DDOST,colon
843241,MED12,KIF17,colon
843242,MED12,RP5-930J4.5,colon
843243,MED12,SH2D5,colon
843244,MED12,RP5-930J4.2,colon
843245,MED12,RP5-930J4.4,colon
843246,MED12,HP1BP3,colon
843247,MED12,EIF4G3,colon
843249,MED12,HSPG2,colon
843250,MED12,LUZP1,colon
843252,MED12,ZNF436,colon
843253,MED12,ZNF436-AS1,colon
843254,MED12,Y_RNA,colon
843256,MED12,RP4-654C18.1,colon
843257,MED12,TCEA3,colon
843258,MED12,ASAP3,colon
843259,MED12,E2F2,colon
843260,MED12,RP1-150O5.3,colon
843261,MED12,ID3,colon
843262,MED12,MDS2,colon
843263,MED12,TCEB3-AS1,colon
843264,MED12,PITHD1,colon
843265,MED12,LYPLA2,colon
843266,MED12,GALE,colon
843267,MED12,HMGCL,colon
843269,MED12,CNR2,colon
843270,MED12,MIR378F,colon
843271,MED12,RP11-4M23.4,colon
843272,MED12,PNRC2,colon
843273,MED12,SRSF10,colon
843274,MED12,RP11-4M23.7,colon
843275,MED12,IL22RA1,colon
843276,MED12,IFNLR1,colon
843277,MED12,RP11-10N16.2,colon
843278,MED12,AL590683.2,colon
843279,MED12,GRHL3,colon
843280,MED12,RP11-10N16.3,colon
843281,MED12,STPG1,colon
843282,MED12,NIPAL3,colon
843283,MED12,RCAN3,colon
843284,MED12,SYF2,colon
843285,MED12,RSRP1,colon
843286,MED12,RP3-465N24.6,colon
843288,MED12,LDLRAP1,colon
843290,MED12,AUNIP,colon
843291,MED12,RP1-125I3.2,colon
843292,MED12,PAQR7,colon
843293,MED12,Y_RNA,colon
843296,MED12,STMN1,colon
843297,MED12,MIR3917,colon
843298,MED12,AL033528.1,colon
843299,MED12,PAFAH2,colon
843300,MED12,EXTL1,colon
843303,MED12,PDIK1L,colon
843304,MED12,FAM110D,colon
843305,MED12,ZNF593,colon
843306,MED12,RP11-96L14.7,colon
843307,MED12,CNKSR1,colon
843309,MED12,CEP85,colon
843311,MED12,SH3BGRL3,colon
843312,MED12,UBXN11,colon
843314,MED12,AIM1L,colon
843316,MED12,ZNF683,colon
843318,MED12,RP3-476K8.3,colon
843319,MED12,HMGN2,colon
843320,MED12,DPPA2P2,colon
843321,MED12,RPS6KA1,colon
843322,MED12,ARID1A,colon
843323,MED12,PIGV,colon
843324,MED12,ZDHHC18,colon
843325,MED12,SFN,colon
843327,MED12,GPN2,colon
843328,MED12,GPATCH3,colon
843329,MED12,NUDC,colon
843330,MED12,NR0B2,colon
843331,MED12,KDF1,colon
843334,MED12,OSTCP2,colon
843335,MED12,TRNP1,colon
843336,MED12,SLC9A1,colon
843339,MED12,RP11-40H20.4,colon
843340,MED12,WDTC1,colon
843341,MED12,TMEM222,colon
843342,MED12,RNU6-48P,colon
843343,MED12,RP11-4K3__A.5,colon
843344,MED12,SYTL1,colon
843345,MED12,MAP3K6,colon
843346,MED12,FCN3,colon
843347,MED12,CD164L2,colon
843348,MED12,RP1-144C9.2,colon
843349,MED12,GPR3,colon
843350,MED12,WASF2,colon
843351,MED12,RP1-159A19.4,colon
843352,MED12,AHDC1,colon
843353,MED12,STX12,colon
843354,MED12,PPP1R8,colon
843355,MED12,SCARNA1,colon
843356,MED12,DNAJC8,colon
843357,MED12,ATPIF1,colon
843358,MED12,RP5-1092A3.4,colon
843359,MED12,RP5-1092A3.5,colon
843360,MED12,SESN2,colon
843361,MED12,TAF12,colon
843362,MED12,RP11-442N24__B.1,colon
843363,MED12,RNU11,colon
843364,MED12,U11,colon
843365,MED12,GMEB1,colon
843366,MED12,RP1-212P9.3,colon
843367,MED12,Y_RNA,colon
843368,MED12,EPB41,colon
843369,MED12,SRSF4,colon
843370,MED12,uc_338,colon
843371,MED12,MECR,colon
843373,MED12,PTPRU,colon
843375,MED12,MATN1,colon
843376,MED12,MATN1-AS1,colon
843378,MED12,SERINC2,colon
843380,MED12,RP11-73M7.1,colon
843381,MED12,TINAGL1,colon
843382,MED12,PEF1,colon
843383,MED12,RP11-73M7.6,colon
843384,MED12,RP11-73M7.9,colon
843385,MED12,COL16A1,colon
843386,MED12,MIR4254,colon
843387,MED12,BAI2,colon
843388,MED12,RP11-84A19.3,colon
843389,MED12,SPOCD1,colon
843390,MED12,PTP4A2,colon
843393,MED12,TXLNA,colon
843394,MED12,CCDC28B,colon
843395,MED12,IQCC,colon
843396,MED12,RP4-622L5.7,colon
843397,MED12,DCDC2B,colon
843398,MED12,TMEM234,colon
843399,MED12,EIF3I,colon
843400,MED12,MTMR9LP,colon
843401,MED12,FAM167B,colon
843402,MED12,LCK,colon
843403,MED12,HDAC1,colon
843404,MED12,MARCKSL1,colon
843405,MED12,RP4-811H24.9,colon
843406,MED12,TSSK3,colon
843408,MED12,BSDC1,colon
843410,MED12,ZBTB8OS,colon
843411,MED12,RBBP4,colon
843412,MED12,SYNC,colon
843414,MED12,KIAA1522,colon
843415,MED12,YARS,colon
843417,MED12,TMEM54,colon
843418,MED12,RNF19B,colon
843419,MED12,FKSG48,colon
843421,MED12,TRIM62,colon
843422,MED12,PHC2,colon
843423,MED12,AL138837.1,colon
843424,MED12,ZSCAN20,colon
843425,MED12,SMIM12,colon
843426,MED12,DLGAP3,colon
843427,MED12,AGO3,colon
843428,MED12,RP4-665N4.4,colon
843430,MED12,ADPRHL2,colon
843431,MED12,TRAPPC3,colon
843432,MED12,MAP7D1,colon
843433,MED12,THRAP3,colon
843434,MED12,SH3D21,colon
843435,MED12,STK40,colon
843436,MED12,LSM10,colon
843438,MED12,OSCP1,colon
843439,MED12,MRPS15,colon
843441,MED12,LINC01137,colon
843442,MED12,ZC3H12A,colon
843443,MED12,MIR6732,colon
843445,MED12,MEAF6,colon
843446,MED12,SNIP1,colon
843447,MED12,RP3-423B22.5,colon
843448,MED12,DNALI1,colon
843450,MED12,MTF1,colon
843451,MED12,RP11-109P14.10,colon
843452,MED12,INPP5B,colon
843453,MED12,MACF1,colon
843454,MED12,RNU6-608P,colon
843455,MED12,RNA5SP44,colon
843456,MED12,PPIE,colon
843457,MED12,BMP8B,colon
843458,MED12,RP1-118J21.25,colon
843459,MED12,RP1-118J21.24,colon
843460,MED12,MFSD2A,colon
843463,MED12,SLC2A1,colon
843464,MED12,SLC2A1-AS1,colon
843466,MED12,EBNA1BP2,colon
843467,MED12,CFAP57,colon
843468,MED12,TIE1,colon
843469,MED12,MPL,colon
843470,MED12,RP1-92O14.3,colon
843471,MED12,CDC20,colon
843472,MED12,MIR6734,colon
843473,MED12,ELOVL1,colon
843475,MED12,MED8,colon
843476,MED12,SZT2,colon
843477,MED12,RP11-7O11.3,colon
843478,MED12,IPO13,colon
843479,MED12,DPH2,colon
843480,MED12,ATP6V0B,colon
843481,MED12,B4GALT2,colon
843482,MED12,CCDC24,colon
843483,MED12,SLC6A9,colon
843484,MED12,RP5-1198O20.4,colon
843485,MED12,ERI3,colon
843486,MED12,RNF220,colon
843487,MED12,TMEM53,colon
843488,MED12,C1orf228,colon
843490,MED12,RNU5D-1,colon
843491,MED12,KIF2C,colon
843492,MED12,RP11-269F19.2,colon
843493,MED12,RPS8,colon
843494,MED12,SNORD55,colon
843495,MED12,SNORD46,colon
843496,MED12,SNORD38A,colon
843497,MED12,SNORD38B,colon
843498,MED12,RPS15AP11,colon
843499,MED12,BEST4,colon
843500,MED12,PLK3,colon
843501,MED12,TCTEX1D4,colon
843502,MED12,BTBD19,colon
843503,MED12,RNU5E-6P,colon
843504,MED12,ZSWIM5,colon
843505,MED12,HPDL,colon
843506,MED12,MUTYH,colon
843507,MED12,TOE1,colon
843508,MED12,TESK2,colon
843509,MED12,MMACHC,colon
843510,MED12,PRDX1,colon
843511,MED12,HMGB1P48,colon
843512,MED12,AKR1A1,colon
843515,MED12,TSPAN1,colon
843516,MED12,RP11-322N21.2,colon
843517,MED12,RP4-533D7.6,colon
843518,MED12,POMGNT1,colon
843519,MED12,LURAP1,colon
843520,MED12,FAAH,colon
843521,MED12,MKNK1,colon
843522,MED12,MOB3C,colon
843523,MED12,ATPAF1,colon
843524,MED12,NENFP1,colon
843525,MED12,TEX38,colon
843526,MED12,EFCAB14-AS1,colon
843527,MED12,EFCAB14,colon
843528,MED12,LINC00853,colon
843529,MED12,CYP4A22-AS1,colon
843530,MED12,PDZK1IP1,colon
843531,MED12,RNF11,colon
843533,MED12,RP11-191G24.1,colon
843534,MED12,EPS15,colon
843535,MED12,OSBPL9,colon
843536,MED12,TXNDC12,colon
843537,MED12,RP11-91A18.4,colon
843538,MED12,KTI12,colon
843540,MED12,BTF3L4,colon
843541,MED12,RP5-1024G6.9,colon
843542,MED12,CPT2,colon
843543,MED12,RP5-1024G6.2,colon
843544,MED12,C1orf123,colon
843545,MED12,RP5-1024G6.7,colon
843546,MED12,MAGOH,colon
843547,MED12,RP5-1024G6.5,colon
843549,MED12,LRP8,colon
843550,MED12,SSBP3,colon
843551,MED12,PARS2,colon
843552,MED12,TTC22,colon
843553,MED12,RP11-67L3.2,colon
843554,MED12,C1orf177,colon
843556,MED12,JUN,colon
843557,MED12,LINC01135,colon
843558,MED12,RP11-63G10.3,colon
843559,MED12,RP4-794H19.1,colon
843560,MED12,NFIA,colon
843561,MED12,FOXD3-AS1,colon
843562,MED12,FOXD3,colon
843563,MED12,MIR6068,colon
843565,MED12,RP4-792G4.3,colon
843566,MED12,ALG6,colon
843567,MED12,JAK1,colon
843568,MED12,GADD45A,colon
843569,MED12,SNORA2,colon
843570,MED12,SAMD13,colon
843571,MED12,CTBS,colon
843572,MED12,SSX2IP,colon
843573,MED12,C1orf52,colon
843574,MED12,Y_RNA,colon
843575,MED12,BCL10,colon
843576,MED12,RP11-131L23.1,colon
843577,MED12,AL590113.1,colon
843578,MED12,ZNHIT6,colon
843579,MED12,RN7SKP272,colon
843580,MED12,GEMIN8P4,colon
843581,MED12,ZNF326,colon
843582,MED12,BCAR3,colon
843583,MED12,LINC01057,colon
843584,MED12,FAM102B,colon
843585,MED12,HENMT1,colon
843586,MED12,PRPF38B,colon
843587,MED12,WDR47,colon
843588,MED12,TAF13,colon
843591,MED12,SCARNA2,colon
843592,MED12,SCARNA2,colon
843593,MED12,RP5-1065J22.4,colon
843594,MED12,SARS,colon
843595,MED12,CELSR2,colon
843596,MED12,PSRC1,colon
843599,MED12,CYB561D1,colon
843600,MED12,GPR61,colon
843601,MED12,RP5-1160K1.8,colon
843602,MED12,GNAI3,colon
843603,MED12,GNAT2,colon
843604,MED12,AMPD2,colon
843605,MED12,RP5-1160K1.6,colon
843606,MED12,GSTM4,colon
843607,MED12,GSTM3,colon
843608,MED12,EPS8L3,colon
843609,MED12,AHCYL1,colon
843610,MED12,STRIP1,colon
843612,MED12,KCNC4-AS1,colon
843613,MED12,KCNC4,colon
843614,MED12,RAP1A,colon
843615,MED12,CTTNBP2NL,colon
843616,MED12,WNT2B,colon
843617,MED12,CAPZA1,colon
843618,MED12,MOV10,colon
843619,MED12,RP11-426L16.3,colon
843620,MED12,RHOC,colon
843621,MED12,RP11-426L16.10,colon
843622,MED12,PPM1J,colon
843623,MED12,RP11-426L16.9,colon
843624,MED12,FAM19A3,colon
843625,MED12,LINC01356,colon
843626,MED12,RP3-522D1.1,colon
843627,MED12,SLC16A1,colon
843628,MED12,RP11-389O22.1,colon
843629,MED12,RP11-31F15.2,colon
843630,MED12,LRIG2,colon
843631,MED12,RSBN1,colon
843632,MED12,RP5-1073O3.2,colon
843634,MED12,HIPK1,colon
843635,MED12,HIPK1-AS1,colon
843636,MED12,TSPAN2,colon
843637,MED12,VANGL1,colon
843639,MED12,ATP1A1,colon
843640,MED12,ATP1A1-AS1,colon
843641,MED12,RP4-655J12.4,colon
843643,MED12,CD58,colon
843644,MED12,PRKAB2,colon
843645,MED12,RP11-337C18.8,colon
843646,MED12,RP11-337C18.10,colon
843647,MED12,RP11-337C18.9,colon
843648,MED12,PDIA3P1,colon
843649,MED12,RPL7AP15,colon
843650,MED12,FMO5,colon
843651,MED12,CHD1L,colon
843653,MED12,GJA5,colon
843654,MED12,BOLA1,colon
843655,MED12,SV2A,colon
843656,MED12,SF3B4,colon
843657,MED12,MTMR11,colon
843658,MED12,OTUD7B,colon
843659,MED12,TARS2,colon
843661,MED12,FALEC,colon
843662,MED12,ADAMTSL4,colon
843663,MED12,MIR4257,colon
843664,MED12,RP11-54A4.2,colon
843665,MED12,ADAMTSL4-AS1,colon
843667,MED12,Metazoa_SRP,colon
843668,MED12,MCL1,colon
843669,MED12,CGN,colon
843671,MED12,TUFT1,colon
843672,MED12,RP11-74C1.4,colon
843673,MED12,MIR554,colon
843674,MED12,RP11-74C1.2,colon
843675,MED12,THEM4,colon
843677,MED12,S100A10,colon
843678,MED12,NBPF18P,colon
843680,MED12,S100A11,colon
843681,MED12,BX470102.3,colon
843682,MED12,S100A6,colon
843683,MED12,S100A5,colon
843684,MED12,S100A4,colon
843685,MED12,S100A3,colon
843686,MED12,S100A2,colon
843687,MED12,S100A16,colon
843688,MED12,S100A14,colon
843689,MED12,S100A13,colon
843690,MED12,S100A1,colon
843691,MED12,RP1-178F15.4,colon
843692,MED12,CHTOP,colon
843693,MED12,RP1-178F15.5,colon
843694,MED12,SNAPIN,colon
843695,MED12,ILF2,colon
843696,MED12,Y_RNA,colon
843697,MED12,INTS3,colon
843698,MED12,AL513523.2,colon
843699,MED12,SLC27A3,colon
843701,MED12,GATAD2B,colon
843702,MED12,DENND4B,colon
843703,MED12,CRTC2,colon
843704,MED12,MIR6737,colon
843705,MED12,SLC39A1,colon
843706,MED12,RP11-422P24.10,colon
843707,MED12,CREB3L4,colon
843708,MED12,JTB,colon
843709,MED12,RP11-422P24.11,colon
843710,MED12,RAB13,colon
843711,MED12,RPS27,colon
843712,MED12,RP11-422P24.9,colon
843713,MED12,IL6R,colon
843714,MED12,RP11-350G8.5,colon
843715,MED12,PSMD8P1,colon
843716,MED12,UBE2Q1,colon
843718,MED12,CHRNB2,colon
843719,MED12,ADAR,colon
843720,MED12,PMVK,colon
843721,MED12,RP11-307C12.13,colon
843723,MED12,PBXIP1,colon
843724,MED12,PYGO2,colon
843725,MED12,RP11-307C12.12,colon
843726,MED12,SHC1,colon
843727,MED12,CKS1B,colon
843728,MED12,MIR4258,colon
843729,MED12,FLAD1,colon
843731,MED12,ZBTB7B,colon
843732,MED12,DCST2,colon
843733,MED12,DCST1,colon
843734,MED12,RP11-307C12.11,colon
843735,MED12,ADAM15,colon
843736,MED12,EFNA4,colon
843737,MED12,RP11-540D14.8,colon
843738,MED12,EFNA3,colon
843740,MED12,EFNA1,colon
843741,MED12,SLC50A1,colon
843742,MED12,DPM3,colon
843743,MED12,HMGN2P18,colon
843744,MED12,KRTCAP2,colon
843745,MED12,TRIM46,colon
843746,MED12,MUC1,colon
843749,MED12,MIR92B,colon
843750,MED12,THBS3,colon
843751,MED12,RP11-263K19.4,colon
843752,MED12,MTX1,colon
843754,MED12,GBAP1,colon
843755,MED12,MTX1P1,colon
843756,MED12,GBA,colon
843757,MED12,AL713999.1,colon
843758,MED12,FAM189B,colon
843759,MED12,SCAMP3,colon
843760,MED12,CLK2,colon
843761,MED12,HCN3,colon
843762,MED12,PKLR,colon
843763,MED12,FDPS,colon
843764,MED12,RUSC1,colon
843765,MED12,RUSC1-AS1,colon
843766,MED12,ASH1L,colon
843767,MED12,RIT1,colon
843768,MED12,KIAA0907,colon
843769,MED12,SNORA80E,colon
843770,MED12,SCARNA4,colon
843771,MED12,RXFP4,colon
843773,MED12,ARHGEF2,colon
843774,MED12,RP11-336K24.12,colon
843775,MED12,RP11-336K24.5,colon
843776,MED12,SSR2,colon
843777,MED12,UBQLN4,colon
843778,MED12,LAMTOR2,colon
843779,MED12,RAB25,colon
843781,MED12,MEX3A,colon
843782,MED12,LMNA,colon
843784,MED12,RP11-98G7.1,colon
843785,MED12,MEF2D,colon
843787,MED12,IQGAP3,colon
843788,MED12,TTC24,colon
843789,MED12,AL365181.1,colon
843790,MED12,APOA1BP,colon
843791,MED12,GPATCH4,colon
843792,MED12,AL365181.2,colon
843794,MED12,ISG20L2,colon
843795,MED12,RRNAD1,colon
843796,MED12,MRPL24,colon
843797,MED12,HDGF,colon
843798,MED12,PRCC,colon
843799,MED12,SH2D2A,colon
843800,MED12,NTRK1,colon
843801,MED12,DUSP23,colon
843802,MED12,SNORD64,colon
843803,MED12,C1orf204,colon
843804,MED12,VSIG8,colon
843806,MED12,CFAP45,colon
843807,MED12,hsa-mir-4259,colon
843809,MED12,TAGLN2,colon
843810,MED12,IGSF9,colon
843811,MED12,IGSF8,colon
843812,MED12,DCAF8,colon
843813,MED12,F11R,colon
843815,MED12,TSTD1,colon
843816,MED12,RP11-544M22.13,colon
843817,MED12,USF1,colon
843818,MED12,B4GALT3,colon
843819,MED12,ADAMTS4,colon
843820,MED12,NDUFS2,colon
843821,MED12,APOA2,colon
843822,MED12,TOMM40L,colon
843823,MED12,MIR5187,colon
843824,MED12,NOS1AP,colon
843825,MED12,HSD17B7,colon
843826,MED12,RP11-331H2.4,colon
843827,MED12,RP11-306I1.2,colon
843828,MED12,MGST3,colon
843829,MED12,ALDH9A1,colon
843830,MED12,MPZL1,colon
843831,MED12,RP5-1018K9.1,colon
843832,MED12,ATP1B1,colon
843833,MED12,PIGC,colon
843834,MED12,C1orf105,colon
843836,MED12,CACYBP,colon
843837,MED12,MRPS14,colon
843838,MED12,Y_RNA,colon
843839,MED12,KIAA0040,colon
843840,MED12,RP11-568K15.1,colon
843841,MED12,RP4-798P15.3,colon
843842,MED12,RASAL2-AS1,colon
843843,MED12,RASAL2,colon
843844,MED12,C1orf220,colon
843845,MED12,QSOX1,colon
843846,MED12,XPR1,colon
843847,MED12,KIAA1614-AS1,colon
843848,MED12,RP11-46A10.6,colon
843849,MED12,STX6,colon
843850,MED12,IER5,colon
843851,MED12,SMG7-AS1,colon
843852,MED12,SMG7,colon
843854,MED12,ARPC5,colon
843855,MED12,RGL1,colon
843857,MED12,IVNS1ABP,colon
843858,MED12,GS1-279B7.2,colon
843861,MED12,C1orf106,colon
843863,MED12,ASCL5,colon
843864,MED12,TMEM9,colon
843865,MED12,TNNI1,colon
843867,MED12,RP11-134G8.10,colon
843868,MED12,PHLDA3,colon
843869,MED12,CSRP1,colon
843870,MED12,RP11-134G8.7,colon
843871,MED12,IPO9-AS1,colon
843872,MED12,IPO9,colon
843875,MED12,RNPEP,colon
843877,MED12,RP11-465N4.4,colon
843879,MED12,ELF3,colon
843880,MED12,RP11-510N19.5,colon
843881,MED12,RP11-510N19.2,colon
843882,MED12,CRIP1P3,colon
843883,MED12,GPR37L1,colon
843884,MED12,ARL8A,colon
843885,MED12,LGR6,colon
843886,MED12,SLC25A39P1,colon
843887,MED12,KDM5B,colon
843888,MED12,RP11-480I12.10,colon
843889,MED12,PCAT6,colon
843890,MED12,MGAT4EP,colon
843891,MED12,RP11-480I12.5,colon
843892,MED12,RP11-480I12.7,colon
843893,MED12,RABIF,colon
843894,MED12,KLHL12,colon
843895,MED12,ADIPOR1,colon
843896,MED12,TMEM183A,colon
843898,MED12,LINC01136,colon
843899,MED12,BTG2,colon
843900,MED12,RNU6-487P,colon
843901,MED12,ATP2B4,colon
843902,MED12,SOX13,colon
843903,MED12,RP11-74C13.4,colon
843904,MED12,ETNK2,colon
843906,MED12,GOLT1A,colon
843907,MED12,PLEKHA6,colon
843908,MED12,RP11-739N20.2,colon
843909,MED12,TMCC2,colon
843910,MED12,NUAK2,colon
843911,MED12,KLHDC8A,colon
843913,MED12,CDK18,colon
843915,MED12,MFSD4,colon
843916,MED12,RNU6-418P,colon
843918,MED12,ELK4,colon
843919,MED12,NUCKS1,colon
843920,MED12,RAB29,colon
843921,MED12,SLC41A1,colon
843922,MED12,DYRK3,colon
843923,MED12,RP11-343H5.6,colon
843924,MED12,MAPKAPK2,colon
843926,MED12,IL24,colon
843929,MED12,FAIM3,colon
843930,MED12,PIGR,colon
843931,MED12,CD55,colon
843932,MED12,C1orf132,colon
843933,MED12,RP11-328D5.1,colon
843934,MED12,PLXNA2,colon
843936,MED12,TRAF3IP3,colon
843937,MED12,C1orf74,colon
843938,MED12,IRF6,colon
843939,MED12,RD3,colon
843941,MED12,TMEM206,colon
843942,MED12,NENF,colon
843943,MED12,RP11-61J19.5,colon
843944,MED12,ATF3,colon
843946,MED12,TGFB2-AS1,colon
843947,MED12,TGFB2,colon
843948,MED12,TLR5,colon
843949,MED12,RP11-239E10.2,colon
843950,MED12,CAPN8,colon
843951,MED12,CAPN2,colon
843952,MED12,RP11-365O16.1,colon
843953,MED12,DEGS1,colon
843955,MED12,RP11-365O16.3,colon
843956,MED12,NVL,colon
843957,MED12,LBR,colon
843958,MED12,RP11-496N12.6,colon
843959,MED12,ENAH,colon
843960,MED12,SRP9,colon
843961,MED12,TMEM63A,colon
843962,MED12,LEFTY1,colon
843963,MED12,PYCR2,colon
843964,MED12,MIR6741,colon
843965,MED12,RP4-559A3.7,colon
843966,MED12,SDE2,colon
843967,MED12,RP11-396C23.2,colon
843968,MED12,RP11-396C23.3,colon
843970,MED12,ACBD3,colon
843971,MED12,LIN9,colon
843973,MED12,ITPKB,colon
843974,MED12,CDC42BPA,colon
843976,MED12,ZNF678,colon
843980,MED12,RP5-881P19.7,colon
843981,MED12,ARF1,colon
843983,MED12,C1orf35,colon
843984,MED12,MRPL55,colon
843987,MED12,RP11-520H14.1,colon
843988,MED12,GUK1,colon
843989,MED12,GJC2,colon
843990,MED12,IBA57-AS1,colon
843991,MED12,IBA57,colon
843992,MED12,OBSCN,colon
843993,MED12,RP5-1061H20.5,colon
843994,MED12,RP5-1061H20.4,colon
843995,MED12,RAB4A,colon
843996,MED12,RP5-1061H20.3,colon
843997,MED12,GALNT2,colon
843998,MED12,C1orf131,colon
843999,MED12,GNPAT,colon
844001,MED12,RP4-781K5.2,colon
844002,MED12,IRF2BP2,colon
844003,MED12,LINC00184,colon
844004,MED12,RP4-597N16.1,colon
844005,MED12,SNORA14B,colon
844006,MED12,TOMM20,colon
844007,MED12,ENO1P1,colon
844008,MED12,LGALS8,colon
844009,MED12,LGALS8-AS1,colon
844010,MED12,OPN3,colon
844011,MED12,CEP170,colon
844012,MED12,SDCCAG8,colon
844013,MED12,FCF1P7,colon
844014,MED12,RP11-439E19.9,colon
844015,MED12,RP11-439E19.7,colon
844016,MED12,SCCPDH,colon
844017,MED12,MIR3916,colon
844018,MED12,RNA5SP82,colon
844019,MED12,MIR3916,colon
844020,MED12,SH3BP5L,colon
844021,MED12,MIR3124,colon
844022,MED12,ZNF672,colon
844023,MED12,ZNF692,colon
844024,MED12,AL672294.1,colon
844025,MED12,ERMP1,colon
844026,MED12,SNRPEP2,colon
844027,MED12,KDM4C,colon
844028,MED12,LURAP1L,colon
844029,MED12,LURAP1L-AS1,colon
844030,MED12,NFIB,colon
844031,MED12,CNTLN,colon
844032,MED12,RP11-146N23.1,colon
844033,MED12,DENND4C,colon
844034,MED12,MLLT3,colon
844035,MED12,MTAP,colon
844036,MED12,CDKN2B-AS1,colon
844037,MED12,MOB3B,colon
844038,MED12,B4GALT1-AS1,colon
844039,MED12,B4GALT1,colon
844040,MED12,RNU4ATAC15P,colon
844041,MED12,NFX1,colon
844042,MED12,AQP3,colon
844043,MED12,RP11-311H10.7,colon
844044,MED12,NOL6,colon
844045,MED12,MIR6851,colon
844046,MED12,PRSS3,colon
844047,MED12,UBE2R2,colon
844048,MED12,UBE2R2-AS1,colon
844050,MED12,KIF24,colon
844051,MED12,NUDT2,colon
844052,MED12,KIAA1161,colon
844053,MED12,C9orf24,colon
844055,MED12,CNTFR-AS1,colon
844056,MED12,CNTFR,colon
844057,MED12,RPP25L,colon
844058,MED12,DCTN3,colon
844059,MED12,ARID3C,colon
844060,MED12,SIGMAR1,colon
844061,MED12,GALT,colon
844062,MED12,GALT,colon
844063,MED12,IL11RA,colon
844064,MED12,CCL27,colon
844065,MED12,RP11-195F19.5,colon
844066,MED12,RP11-195F19.9,colon
844067,MED12,RP11-195F19.30,colon
844068,MED12,VCP,colon
844069,MED12,FANCG,colon
844070,MED12,PIGO,colon
844071,MED12,RP11-182N22.8,colon
844072,MED12,STOML2,colon
844073,MED12,FAM214B,colon
844074,MED12,UNC13B,colon
844075,MED12,TLN1,colon
844076,MED12,CREB3,colon
844077,MED12,MIR6853,colon
844078,MED12,GBA2,colon
844079,MED12,RGP1,colon
844080,MED12,MSMP,colon
844081,MED12,RP11-112J3.15,colon
844084,MED12,SPAG8,colon
844085,MED12,AL133410.1,colon
844086,MED12,HINT2,colon
844087,MED12,TMEM8B,colon
844088,MED12,FAM221B,colon
844089,MED12,GRHPR,colon
844090,MED12,ZBTB5,colon
844091,MED12,KCTD9P3,colon
844092,MED12,POLR1E,colon
844094,MED12,RP11-613M10.9,colon
844095,MED12,SHB,colon
844096,MED12,TJP2,colon
844097,MED12,KLF9,colon
844098,MED12,TMEM2,colon
844099,MED12,RNA5SP285,colon
844100,MED12,LINC01504,colon
844101,MED12,ZFAND5,colon
844102,MED12,NMRK1,colon
844103,MED12,OSTF1,colon
844104,MED12,RFK,colon
