,name,description,member
25640,ASCL2,MIR6882,colon
25642,ASCL2,MAN2A2,colon
25644,ASCL2,UNC45A,colon
25645,ASCL2,HDDC3,colon
25646,ASCL2,AC068831.3,colon
25654,ASCL2,TM2D3,colon
25655,ASCL2,DYRK1A,colon
25656,ASCL2,ZBTB21,colon
25657,ASCL2,ZNF295-AS1,colon
25659,ASCL2,C21orf2,colon
25660,ASCL2,AP001062.9,colon
25663,ASCL2,POFUT2,colon
25664,ASCL2,BX322557.10,colon
25665,ASCL2,GEMIN4,colon
25666,ASCL2,DBIL5P,colon
25667,ASCL2,DPH1,colon
25668,ASCL2,OVCA2,colon
25670,ASCL2,C17orf85,colon
25671,ASCL2,CLDN7,colon
25672,ASCL2,RP1-4G17.5,colon
25674,ASCL2,KRBA2,colon
25675,ASCL2,DHRS13,colon
25677,ASCL2,CRLF3,colon
25680,ASCL2,MIEN1,colon
25682,ASCL2,EIF1,colon
25683,ASCL2,LEPREL4,colon
25684,ASCL2,FKBP10,colon
25685,ASCL2,RP11-358B23.1,colon
25686,ASCL2,CTD-2132N18.3,colon
25688,ASCL2,G6PC3,colon
25691,ASCL2,TOB1,colon
25693,ASCL2,MRPS23,colon
25694,ASCL2,SUPT4H1,colon
25696,ASCL2,PITPNC1,colon
25698,ASCL2,CASKIN2,colon
25699,ASCL2,TSEN54,colon
25700,ASCL2,TRIM65,colon
25701,ASCL2,RP11-552F3.10,colon
25702,ASCL2,MRPL38,colon
25705,ASCL2,ENGASE,colon
25708,ASCL2,RP13-766D20.4,colon
25709,ASCL2,AC139149.1,colon
25710,ASCL2,ACTG1,colon
25711,ASCL2,FAM195B,colon
25713,ASCL2,RP11-498C9.3,colon
25714,ASCL2,ARHGDIA,colon
25715,ASCL2,ASPSCR1,colon
25722,ASCL2,OCIAD2,colon
25726,ASCL2,CCRN4L,colon
25728,ASCL2,MMAA,colon
25729,ASCL2,RP4-545L17.11,colon
25730,ASCL2,PSMF1,colon
25732,ASCL2,JAG1,colon
25738,ASCL2,C20orf24,colon
25739,ASCL2,MANBAL,colon
25740,ASCL2,SNORA71D,colon
25741,ASCL2,SNHG17,colon
25742,ASCL2,TP53TG5,colon
25744,ASCL2,HIF1A,colon
25745,ASCL2,HIF1A-AS1,colon
25746,ASCL2,ALKBH1,colon
25747,ASCL2,SLIRP,colon
25751,ASCL2,RP11-600F24.7,colon
25752,ASCL2,TRMT61A,colon
25753,ASCL2,RP11-982M15.2,colon
25754,ASCL2,RP11-477I4.4,colon
25759,ASCL2,RNU7-1,colon
25761,ASCL2,U47924.27,colon
25762,ASCL2,MIR200C,colon
25763,ASCL2,MIR141,colon
25764,ASCL2,U47924.29,colon
25769,ASCL2,RP11-174G6.5,colon
25770,ASCL2,HIST4H4,colon
25771,ASCL2,H2AFJ,colon
25774,ASCL2,RP11-603J24.9,colon
25777,ASCL2,PPM1H,colon
25778,ASCL2,SRGAP1,colon
25779,ASCL2,VPS29,colon
25780,ASCL2,RP3-424M6.4,colon
25781,ASCL2,RAD9B,colon
25782,ASCL2,RPLP0,colon
25783,ASCL2,PXN-AS1,colon
25784,ASCL2,DYNLL1-AS1,colon
25785,ASCL2,DYNLL1,colon
